Surface,Substrate,Adsorbate,Substrate Mass,NN,mindistance,NN2,Adsorbate mass,cos(alpha),sin(alpha),Mr,Zfrequency,frequency_corrected,Energy,Surface_Energy,Eads
110,Cr,NH,51.996,3,1.929036098,1,15.01464,0.616411953,0.78742384,12.08509183,548.279536,611.1312912,-579.46125,-565.39807,-5.9217979
110,Cu,NH,63.546,2,1.971423853,2,15.01464,0.248369254,0.968665429,12.09606966,341.12938,380.0619981,-221.01812,-209.59645,-3.2802879
110,Fe,NH,55.847,3,1.884877402,1,15.01464,0.569766251,0.821806802,11.89534732,0,0,-503.71469,-490.29765,-5.2756579
110,Ir,NH,192.22,2,1.977085712,2,15.01464,0.519430869,0.854512477,13.48590193,484.526969,511.2524691,-511.84956,-499.827,-3.8811779
110,Mo,NH,95.94,3,2.107207464,1,15.01464,0.598084286,0.801433208,13.17443211,530.132575,565.9473113,-673.53994,-659.8486,-5.5499579
110,Ni,NH,58.6934,2,1.900000183,2,15.01464,0.20926897,0.977858118,12.08313622,0,0,-313.56255,-301.45531,-3.9658579
110,Pd,NH,106.42,2,1.951954754,2,15.01464,0.434444182,0.900698758,11.92206803,366.581024,411.3880233,-308.07501,-296.80451,-3.1291179
110,Pt,NH,195.08,2,1.942679352,2,15.01464,0.502400698,0.864634916,13.33854824,492.3482,522.3667612,-364.90422,-353.2625,-3.5003379
110,Rh,NH,102.9055,2,1.939192698,2,15.01464,0.481950516,0.876198436,12.19225257,419.951909,466.0312572,-419.00408,-407.15308,-3.7096179
110,V,NH,50.9415,3,1.94729121,1,15.01464,0.606383902,0.795172034,11.9531346,546.341537,612.3232882,-561.06375,-546.58636,-6.3360079
110,W,NH,183.85,3,2.111209662,1,15.01464,0.597584983,0.80180558,13.99290645,555.618223,575.5459175,-803.27099,-789.2681,-5.8615079
111,Ag,NH,107.868,3,2.150816223,3,15.01464,0.519843212,0.85426169,12.94616748,368.115712,396.4342843,-179.11525,-168.80985,-2.1640179
111,Al,NH,26.98154,3,1.952881116,3,15.01464,0.478779458,0.877935209,8.594386475,437.924649,578.827842,-238.47019,-225.00988,-5.3189279
111,Au,NH,196.9665,3,2.115116127,3,15.01464,0.418529745,0.90820309,13.29831953,364.414718,387.2175109,-222.04545,-211.42435,-2.4797179
111,Cu,NH,63.546,3,1.907418347,3,15.01464,0.576679604,0.8169704,12.27286931,496.244306,548.8832069,-239.94847,-228.4102,-3.3968879
111,Ir,NH,192.22,3,2.029380288,3,15.01464,0.607199774,0.794549202,14.0674401,579.951806,599.1586448,-554.96568,-542.65627,-4.1680279
111,Ni,NHH,58.6934,3,1.838701972,3,16.02258,0.599213817,0.800589034,12.90152202,0,0,-338.24511,-324.5079,-0.195794
111,Pd,NH,106.42,3,1.973198932,3,15.01464,0.521740412,0.853104298,12.91757647,473.109677,510.0688155,-331.13384,-319.10613,-3.8863279
111,Pt,NH,195.08,3,2.013091663,3,15.01464,0.514081276,0.857741477,13.7663309,507.253303,529.7527785,-395.13497,-383.1712,-3.8223879
111,Rh,NH,102.9055,3,1.989634281,3,15.01464,0.611936475,0.790906917,13.3538863,546.844588,579.8525123,-451.21795,-438.77157,-4.3049979
100,Ag,N,107.868,4,2.200890111,1,14.0067,0.056615087,0.99839608,11.74117838,193.150285,210.9635494,-170.91233,-165.15468,-2.5858422
